               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083327,             0.01985,            0.048182,            0.060156,             0.30828,            0.055681,           0.0090555,            0.061954,            0.012963,            0.040498,             0.00082,             0.00082,             0.09262
                   1,            0.055312,            0.015918,            0.038447,             0.19522,             0.78203,             0.24026,            0.089138,            0.060622,           0.0085698,            0.037385,           0.0016499,           0.0016499,             0.08515
                   2,             0.04952,            0.011803,            0.035642,             0.30083,             0.69688,             0.47577,             0.22181,             0.03945,           0.0071663,            0.033796,           0.0024795,           0.0024795,             0.07768
                   3,             0.04618,           0.0095804,            0.030544,             0.52381,             0.78126,             0.62242,             0.27548,            0.045033,           0.0058263,            0.023136,           0.0033085,           0.0033085,            0.070209
                   4,            0.045323,           0.0079013,            0.018228,             0.72063,             0.82222,             0.79824,             0.33191,            0.045582,           0.0052782,           0.0092827,           0.0041367,           0.0041367,            0.062737
                   5,            0.043407,           0.0071277,            0.010524,             0.87304,             0.95583,             0.93806,             0.50793,            0.035825,           0.0044293,           0.0051446,           0.0049639,           0.0049639,            0.055264
                   6,            0.040897,           0.0065943,           0.0078514,             0.93186,             0.95658,             0.97701,             0.52139,            0.036796,           0.0043117,           0.0038299,           0.0057897,           0.0057897,             0.04779
                   7,            0.038245,           0.0062037,           0.0066375,             0.91425,             0.96997,             0.97326,             0.51813,            0.031863,           0.0043042,           0.0031633,            0.006614,            0.006614,            0.040314
                   8,            0.036533,           0.0059882,           0.0060186,             0.98257,             0.99554,             0.99432,             0.57284,             0.03115,           0.0038825,           0.0024672,           0.0074365,           0.0074365,            0.032836
                   9,            0.034713,           0.0056763,           0.0053569,             0.98715,             0.99123,             0.99401,             0.57159,            0.030387,           0.0042663,            0.002654,           0.0082569,           0.0082569,            0.025357
                  10,             0.03347,            0.005589,           0.0052234,             0.97261,             0.97358,             0.99247,             0.59923,            0.029385,           0.0040691,           0.0023341,           0.0090751,           0.0090751,            0.017875
                  11,            0.032396,           0.0056005,           0.0052794,             0.98447,             0.98692,             0.99281,             0.63368,            0.028204,           0.0041397,           0.0020311,           0.0098907,           0.0098907,            0.010391
